TrainingMode,Hidden,Seed,Threshold,Val_SensitivityValid,Val_SpecificityInvalid,Val_BalancedAccuracy,Val_PrecisionValid,Val_F1Valid,Val_AUROC,SelectionScore,BestEpoch
FinalOnly,12,20260812,0.83,0.907534246575342,0.955882352941177,0.93170829975826,0.988805970149254,0.946428571428571,0.974063255439162,0.903473005640613,126
FinalOnly,12,20260829,0.82,0.89041095890411,0.955882352941177,0.923146655922643,0.988593155893536,0.936936936936937,0.978998791297341,0.894911361804996,112
FinalOnly,12,20260907,0.92,0.842465753424658,0.955882352941177,0.899174053182917,0.987951807228916,0.909426987060998,0.969681708299758,0.87093875906527,62
FinalOnly,20,20260812,0.87,0.904109589041096,0.955882352941177,0.929995970991136,0.98876404494382,0.944543828264758,0.98035858178888,0.901760676873489,88
FinalOnly,20,20260829,0.81,0.886986301369863,0.955882352941177,0.92143432715552,0.988549618320611,0.935018050541516,0.977387187751813,0.893199033037873,56
FinalOnly,20,20260907,0.94,0.753424657534247,0.970588235294118,0.862006446414182,0.990990990990991,0.856031128404669,0.959860999194198,1000.84818561346,27
FinalOnly,16-8,20260812,0.74,0.931506849315068,0.970588235294118,0.951047542304593,0.992700729927007,0.96113074204947,0.973559629331184,1001.03622291097,60
FinalOnly,16-8,20260829,0.49,0.958904109589041,0.955882352941177,0.957393231265109,0.989399293286219,0.973913043478261,0.977336825141015,0.929157937147462,40
FinalOnly,16-8,20260907,0.72,0.924657534246575,0.970588235294118,0.947622884770347,0.992647058823529,0.957446808510638,0.9732070910556,1001.02899429081,44
FinalOnly,24-12,20260812,0.51,0.969178082191781,0.955882352941177,0.962530217566479,0.989510489510489,0.979238754325259,0.979049153908139,0.934294923448832,58
FinalOnly,24-12,20260829,0.85,0.893835616438356,0.955882352941177,0.924858984689766,0.988636363636364,0.938848920863309,0.979854955680902,0.896623690572119,44
FinalOnly,24-12,20260907,0.95,0.883561643835616,0.955882352941177,0.919721998388396,0.988505747126437,0.933092224231465,0.97008460918614,0.891486704270749,66
PriorEnriched,12,20260812,0.87,0.873287671232877,0.970588235294118,0.921937953263497,0.992217898832685,0.92896174863388,0.977135374697824,1000.97477108405,65
PriorEnriched,12,20260829,0.86,0.876712328767123,0.970588235294118,0.92365028203062,0.992248062015504,0.930909090909091,0.976732473811442,1000.97838644788,65
PriorEnriched,12,20260907,0.93,0.842465753424658,0.985294117647059,0.913879935535858,0.995951417004049,0.912801484230056,0.985394842868654,1000.94298176182,79
PriorEnriched,20,20260812,0.73,0.941780821917808,0.970588235294118,0.956184528605963,0.992779783393502,0.966608084358524,0.983380338436745,1001.04706535562,65
PriorEnriched,20,20260829,0.8,0.886986301369863,0.970588235294118,0.92878726833199,0.992337164750958,0.936708860759494,0.967314665592264,1000.98923211681,26
PriorEnriched,20,20260907,0.85,0.873287671232877,0.970588235294118,0.921937953263497,0.992217898832685,0.92896174863388,0.975775584206285,1000.97477108405,55
PriorEnriched,16-8,20260812,0.77,0.945205479452055,0.970588235294118,0.957896857373086,0.992805755395683,0.968421052631579,0.984488315874295,1001.05067937572,54
PriorEnriched,16-8,20260829,0.88,0.931506849315068,0.970588235294118,0.951047542304593,0.992700729927007,0.96113074204947,0.990078565672844,1001.03622291097,104
PriorEnriched,16-8,20260907,0.7,0.945205479452055,0.970588235294118,0.957896857373086,0.992805755395683,0.968421052631579,0.978595890410959,1001.05067937572,56
PriorEnriched,24-12,20260812,0.8,0.952054794520548,0.970588235294118,0.961321514907333,0.992857142857143,0.972027972027972,0.982725624496374,1001.05790722573,78
PriorEnriched,24-12,20260829,0.91,0.900684931506849,0.970588235294118,0.935636583400484,0.992452830188679,0.944344703770197,0.979703867848509,1001.00369203688,72
PriorEnriched,24-12,20260907,0.82,0.928082191780822,0.970588235294118,0.94933521353747,0.992673992673993,0.95929203539823,0.977487912973409,1001.03260863349,79
